epoch;num_critics: 10 - eval/reward_mean;num_critics: 50 - eval/reward_mean;num_critics: 20 - eval/reward_mean;num_critics: 2 - eval/reward_mean;num_critics: 5 - eval/reward_mean;SAC-20;SAC-10
72;-552.5856604111946;-40.790832857248674;-474.56032886525065;-834.728378597291;8.119202125005529;-566.300904834902;-461.84092592931376
73;-538.4843443665304;-109.25627797868738;-552.8782186661555;-862.1052639669072;-195.6641405771658;-493.21171118614456;-516.5813671624502
74;-533.0130530782915;197.02953297291202;-523.968321402861;-879.0064362899848;84.27693253182196;-552.4589974445676;-735.401243874876
75;-527.4740108285455;744.2793675609338;-672.4886636665758;-772.8557615797284;133.41534796395217;-563.1072545672416;-601.8572541277905
76;-528.6810320097885;1563.1889826362615;-709.9152453469535;-812.5035603029885;234.29316613977096;-581.7557795458558;-585.7051684269079
77;-557.1648798659395;1373.2920487560073;-882.5861005658471;-762.5390511725996;158.8198915419469;-511.9237140876595;-611.6078999241445
78;-582.5846235616849;1216.93194527268;-791.7250171816792;-705.9987521992828;-130.8029612847772;-516.698767622538;-603.012812362176
79;-554.1119008075021;2251.117776108021;-782.3087952556605;-751.6801325612653;1553.0572469640092;-536.322852460439;-605.8748184748567
80;-473.6551541821808;3256.346285934093;-1026.7149632239036;-688.1936825850853;876.819833933373;-490.1894964099599;-656.2887263040042
81;-541.8623551468928;3677.5973878613972;-1013.0056590544646;-767.7681928480648;1954.0991455828726;-489.33660888242065;-695.7710100541988
82;-530.7496332400773;3825.918090998262;-947.079141818883;-713.3053755438079;1554.8978448350724;-444.27301697183685;-625.9737841458284
83;-551.4939268399406;3774.04936089766;-803.5515276753791;-712.1652301661021;1970.1638447725752;-521.9397436298383;-680.1480099570668
84;-458.1175566285807;3779.8920861819847;-949.8343754462263;-611.2449845615657;1986.5721956041723;-473.6779397699117;-516.750183086988
85;-487.6862210608841;3663.045999893156;-1029.686092970524;-693.2126228379769;1949.4238305889808;-449.01196030055826;-747.656332456174
86;-556.5512159391736;3867.952091077881;-608.018897904388;-537.4363193615549;1936.471092539824;-360.40737547642186;-618.2445063242903
87;-580.3710177912873;3657.797591343726;-156.04291404616703;-547.0846842303602;1707.435052792564;-467.78375726281337;-313.5635950642248
88;-563.3391802893273;3632.293136019238;-351.88824708097707;-553.4811774060097;1676.8444518321753;-477.61388043440894;-413.53874769950835
89;-563.9775587305758;3722.6987574753525;434.3561968148486;-591.3904993759962;1791.8284743549552;-498.08286414354825;-447.6255847443846
90;-558.9300730659397;3646.676710038691;-143.78624545029876;-809.6980125651972;1676.9710958120113;-485.53802289059274;-510.278357450671
91;-552.52055680116;3868.1006373074133;1140.5117416984153;-754.3479569800149;1756.7452321423164;-470.2477852239693;-183.34127856073042
92;-600.7693912019619;3558.4080530732876;1100.1662430410786;-704.4038123113608;1593.825649153436;-441.38626490636153;-284.2286978941075
93;-548.5702134226356;3718.804809552089;101.16149034286668;-674.2174521221448;1402.3602890604584;-526.887727212692;553.6993297299168
94;-562.9946402731986;3535.674066631827;367.1178925770389;-620.2552132876187;1496.678605203777;-463.13128053195805;833.5921702202337
95;-594.9799775448861;3461.8748335586074;294.9241276924129;-613.6268343702299;1559.7527319499295;-478.0576127012402;745.358554938399
96;-572.4358813687725;3568.285710935453;649.2331109152709;-502.8772698791698;1474.7465648061186;-451.8735196619379;199.35484023222503
97;-480.4426286711147;3481.545906585287;180.76466642913127;-567.2301762274408;1410.6661017364363;-338.03217257384085;1466.4534421280325
98;-566.526447995939;3477.096098574114;158.86441490981161;-530.7782234330473;1316.8673298781418;-465.6871059877605;539.4948816897935
