epoch,critic_reduction: mean-8 - eval/reward_mean,critic_reduction: mean-4 - eval/reward_mean,critic_reduction: mean-2 - eval/reward_mean,critic_reduction: mean-1 - eval/reward_mean,critic_reduction: mean-0.5 - eval/reward_mean,critic_reduction: mean - eval/reward_mean,critic_reduction: edac-halfcheetah-full-replay-230318-212450 - eval/reward_mean
159,-603.1092693,2237.147135,-520.9730168,2727.883188,222.7279015,-599.0891005,3534.336901
160,-601.5618158,2237.492798,-358.4788908,2873.489495,-137.7956784,-596.4861838,3501.153996
161,-602.9913905,2312.403406,-450.1676615,2767.455582,306.5308383,-598.1696056,3588.527436
162,-602.8783605,2309.324839,-295.8203045,2486.252791,21.83943715,-600.13279,5156.298302
163,-603.0172796,2373.054646,-450.6966605,2857.691139,-42.57577196,-598.0893566,5131.764351
164,-603.3323156,2475.372217,-222.8862965,2837.924757,267.079911,-599.8639667,5141.279624
165,-603.4855498,2394.536712,-247.935557,1637.951568,647.0998383,-599.872784,4891.43863
166,-602.4915544,2188.288502,-140.9665305,530.2256265,-115.1387005,-600.3244977,5328.221118
167,-603.7814123,2352.486172,237.8585494,3202.637362,392.0473853,-595.8657306,5395.779539
168,-602.6223106,2411.576129,-327.2178799,2780.530121,394.9145559,-599.9486011,5260.23111
169,-603.433357,2327.154174,294.9641792,3264.255018,340.1027895,-597.9790989,4332.814493
170,-603.3792586,2378.339465,-482.2565652,2570.70443,294.5865163,-598.9315141,5494.864771
171,-602.9378263,2256.688366,71.34177098,3085.590317,150.7260804,-598.4013027,5225.237075
172,-602.3106506,2354.564508,16.56285145,2460.902609,99.64417985,-598.9345456,5267.457551
173,-603.1631001,2543.086093,126.4456874,2932.736526,584.8333644,-599.1488894,5459.866526
174,-603.2777907,2512.754926,226.1542941,2603.685795,-92.94394086,-599.6688196,5630.947294
175,-603.0847179,2547.925747,-114.7778314,2734.14034,648.9695747,-599.5491275,5287.548347
176,-602.0742046,2412.541625,225.4386901,2899.909064,417.3856941,-598.7578001,5423.519917
177,-602.9898669,2612.977991,-88.44110398,3622.183201,191.9319099,-598.7205158,5298.825254
178,-602.6914273,2637.721336,123.2455616,2552.675426,56.75758802,-599.1554444,5330.382526
179,-603.3932644,2604.349114,-69.45361749,2508.367788,772.4481251,-597.4770425,4963.531685
180,-603.275612,2702.917208,244.9410501,2766.13419,681.1578083,-596.3569258,5429.500014
181,-602.2059902,2644.776226,471.0988836,3183.60475,295.3259659,-599.6430043,5182.88165
182,-603.3429511,2005.965973,1384.616696,3930.266054,667.0058329,-597.216951,5268.493768
183,-602.9761372,2675.545161,1670.814574,2922.993247,231.7255076,-596.0151928,5301.402025
184,-603.6685415,2759.452471,1284.885916,1633.22586,322.962556,-599.2681248,5078.842225
185,-604.4192333,2698.959755,994.3109407,3130.890768,456.6974076,-597.6122142,5119.733031
186,-602.9840037,2839.095884,1337.686848,2343.737157,457.5905054,-599.0637091,5392.735
187,-603.6173665,2727.375072,1724.933719,3424.738286,268.5594139,-600.5427949,5203.625247
188,-602.0606225,2839.004214,2965.057859,2573.858154,110.0758053,-600.4350224,5058.960105
189,-603.8298427,2209.815886,2025.944746,3012.486069,732.9046412,-599.2312511,5211.853579
