epoch;env: halfcheetah-full-replay - eval/reward_mean;env: halfcheetah-expert - eval/reward_mean;env: halfcheetah-medium-v2 - eval/reward_mean
145;90.26826234204191;-540.6059695581607;-723.3521073024065
146;-51.96111284955484;-529.3391133969958;-595.1729393943745
147;740.8620729613273;-528.6745889157834;-261.240288160108
148;166.3344129209837;-509.54514863106755;-93.04392530051322
149;259.48652801465084;-532.9838952823617;-202.6342845670491
150;939.7214106591991;-535.9875932413559;-209.5048737732212
151;2330.1751347403915;-515.9720331390406;-410.3322146860461
152;1745.5969817731504;-540.879409441452;-744.8034953627293
153;1867.0434559403525;-551.2690945547035;-154.6053207895908
154;1426.4115457335502;-548.78339741327;-565.7556929160193
155;2203.832005530314;-549.4673569119603;-461.46416506786807
156;2582.413905206673;-508.21919085201375;-193.01214475946253
157;3704.4633558791666;-535.0855175326127;-111.31125601817321
158;2925.54038652211;-525.7371477975474;-143.1579375576254
159;2641.78359021595;-521.0981452852509;236.39267397189866
160;3186.8281936432595;-598.9959636489245;-389.8883566142766
161;3584.4395938663356;-549.5162910832976;-399.8080208742345
162;4222.169936566777;-510.3180226275672;-490.14931914816077
163;4278.421851007086;-555.2726761586825;-474.02328713875414
164;4061.1713130091257;-528.3132751564549;-386.945425731259
165;4278.13215385251;-555.6889822396507;-50.80711915594439
166;4406.493499599388;-615.5145119342068;-105.14287650493824
167;4403.3804155782;-587.4696152719812;577.2349824198569
168;4725.091417999623;-522.93369661737;507.5916158651271
169;4759.303067479294;-516.0559966811428;48.23319370309696
170;4631.234638247435;-550.7809235166669;429.519093627856
171;4671.046179350476;-543.6185118929624;-97.17716844738388
172;3749.43048995154;-538.2575091815343;270.798178991783
173;4233.2387777679905;-563.2770589924007;764.3712404594231
174;5217.133768511909;-620.6045974551216;-325.71335466054654
175;3491.709329728348;-575.2185866634661;-140.43723619549002
176;4832.796082486488;-532.3692714473902;757.3101371462408
177;4989.897736504935;-554.515673250066;1332.7246285672418
178;5141.6639000816085;-543.2819147723498;1899.5317756956933
179;4539.747584805569;-553.5991766268753;1757.2408089970206
180;5549.016164087583;-514.7420518345773;-160.7192033341287
181;4364.209654364199;-537.2923611352339;811.5372190675408
182;4712.595314003391;-541.1641784501273;2289.602155709583
183;4863.156905569818;-552.9542293969483;1697.5975939386713
184;4946.984016326307;-562.1879845165898;1696.2446866091245
185;4562.909963881215;-492.45306898162073;1473.9330096938768
186;5002.288256230726;-522.2913205806426;2955.5387551955764
187;4360.217547748136;-549.1094917771343;3643.6911210721346
188;5528.423343678482;-566.921576321481;1732.0688766725586
189;3684.0997001226483;-529.5219385033537;2056.847113281877
190;5056.518463358687;-543.181890220171;4037.5629852441116
191;5575.604765099085;-560.3500518202686;3242.939855734118
192;5612.345484755033;-565.238718765893;997.1519460052812
193;5858.996741759749;-506.6918595729098;1490.7299737284077
194;5185.3466904409415;-553.5372973475157;3111.3070030521053
195;5840.378131440644;-551.6436982043258;2905.6465300573336
196;5155.289962695844;-506.8253617350539;3352.4015312920915
197;4565.441685749983;-560.9829945993857;1423.880748510286
198;5132.671948816153;-453.94794384313;2466.677236026914
199;6354.806152036121;-525.530716460604;2290.7684112511474
200;6228.668035629757;-476.16453500736907;2499.5878438843624
201;4745.483378030511;-542.7395099773948;4029.3659557571254
202;6125.847894864717;-515.3756484423461;3460.2724179537095
203;6161.236593461556;-557.7351255299626;3093.8550950363906
204;5590.140823588075;-471.9019387509803;5358.638319963093
205;6485.290232762894;-530.7216318748784;5282.436717377068
206;5891.931236469843;-458.2846339467053;2315.9330901989442
207;5700.590330885498;-536.8760064843827;5454.804200781881
208;6513.774519248716;-481.78770433294096;4093.306969714847
209;6622.306868822317;-463.9663464341382;5231.030885125731
210;6757.956064275775;-527.5894159805309;2991.6017493158447
211;7069.7447744585925;-530.4132898780005;4824.472567901595
212;7064.839356813279;-573.0585177463624;5035.013988885611
213;6588.811897212792;-445.68827401274314;3000.863336693349
214;7370.632701928938;-566.0208827138686;5616.687907702532
215;7256.637926573258;-434.4929637910917;5609.448164137017
216;6663.280730689761;-549.9761528613108;4290.402494577191
217;6099.481149912599;-495.7495921578902;5474.376408586592
218;7449.7690605921325;-460.17242894037975;4390.3432405436715
219;6508.838235299231;-535.6586031188982;4254.024722376848
220;7444.6234999271455;-523.1662946134378;5475.69909922694
221;7534.782578046739;-601.6449600995736;4432.221177922869
222;7478.42627106802;-511.7007616273313;2994.876811857034
223;7677.7281315911205;-432.8239768067241;4495.066975584829
224;6688.0246470047005;-532.0690383209421;5275.273511914344
225;7153.103618694755;-443.78013837538435;5550.814266842508
226;7218.405419207284;-505.75279590002754;4353.930933525104
227;7099.510123527472;-497.1332377535885;5542.923723679041
228;7651.7598290231035;-572.3924357556457;5553.388480669411
229;7570.967862545905;-484.5018629564049;5410.921005147452
230;7068.6957370796235;-473.34052238535;5473.383482903349
231;7959.877010666316;-521.6941608967732;4518.9610811354805
232;7150.868333887972;-528.7303895038815;5466.920093659106
233;7985.991078626802;-532.6858079519702;4356.124727788607
234;7756.030417972588;-446.4682511698174;5734.428368463242
235;7844.104213183715;-492.8434844812092;4529.661668056315
236;7751.526048479022;-498.2387624436808;5599.322063705906
237;8059.132992837838;-530.8912763674148;5652.630239081783
238;8019.990257842492;-565.7065332142106;5476.497610224884
239;7967.2126140743085;-470.31598884180653;4564.286876000903
240;7854.835404393753;-532.7944973970117;4532.87611675635
241;8043.5637395860795;-452.8577452497211;5886.108202577017
242;7120.434124613336;-578.5145212573;4497.164404229985
243;8034.678991900773;-431.8741961772449;3224.4458089737154
244;8109.63025826051;-440.59041190653375;5645.824732915016
245;8004.504033335985;-458.51674218767744;5742.5191456303055
246;8168.063067193873;-496.7596156875634;5789.905028358936
247;8163.253564675986;-429.04638307696985;5676.783296282678
248;7776.9557347489335;-453.6586417641865;5834.582685285245
249;8106.071077183022;-425.7797761125029;5976.518382882466
250;8117.945516227144;-484.16083812676777;4420.84054301246
251;8125.8489771612185;-544.1258377445682;5844.490240089816
252;8315.505965006621;-432.9449544833975;5997.210613399803
253;8264.65999446053;-458.30205130883087;5787.971651783929
254;8039.237173659916;-515.5190486132029;5833.837507337894
255;8269.382856477176;-474.4766953098294;5730.261429611963
256;8114.231042342959;-470.7519384659159;5913.009748562456
257;8312.694968748972;-486.4791402378065;4597.062668816001
258;8486.694460210183;-488.0923457979334;5999.600360726278
259;8358.7046640209;-552.7743402012156;5881.223910362986
260;8318.176852835153;-477.22355117172884;5822.6692753859625
261;8588.95570598673;-533.0158594001509;5803.912362536656
262;8332.157131587639;-499.3455648589702;5976.141360637418
263;7978.060400326573;-518.7561630912669;5886.67654042658
264;8354.962100986968;-484.549822880525;5998.367750470857
265;8248.462763035137;-487.5891901822223;5939.32760723884
266;8416.556548993058;-487.0381683802037;5972.0887507589605
267;8348.79551748057;-508.5892356443153;5776.463326344994
268;8564.03183284124;-499.237968868656;5934.756305275655
269;8427.832595507758;-566.965814552511;5922.66570859275
270;8592.71793962062;-436.77925894106716;6019.489199107817
271;8535.963305572059;-603.9956731008922;5909.920782628877
272;8356.771050659903;-457.2221051952428;6083.324260973921
273;8345.117742063194;-549.9805459409035;6130.927426124812
274;8494.5959046348;-577.4627257292793;6002.779204355195
275;8460.794273982978;-492.1178072652265;6172.914722260237
276;8524.510633433456;-632.0322585142426;6011.82275240875
277;8369.852012257994;-564.9814709391474;5862.654427738612
278;8640.358753705157;-514.8765996477227;6157.728687085392
279;8561.437470163404;-573.3742491438096;5925.02078582872
280;8545.295406991288;-610.8935530347251;5914.230050500756
281;8370.036021898562;-540.593058405898;5885.019464033473
282;8455.72079926576;-631.1196458915208;5961.946809281117
283;8316.807689385725;-652.2651053544854;6030.548798477726
284;8679.806972853432;-561.2219738141691;5888.685708336818
285;8595.712127132892;-555.2630291069902;6057.6800448440745
286;8716.340632203573;-712.4126018616704;6025.569739283581
287;8531.875514912961;-724.2136768487233;6301.696788885302
288;8645.024216556209;-799.306192517629;6168.4851634591405
289;8502.62702994663;-689.0174679356671;6063.279944074623
290;8568.973296583144;-620.6366315130342;6009.724440862623
291;8803.216282109464;-675.8836552072702;6223.427237933837
292;8684.82187925895;-730.0240060220535;6147.0602219864895
293;8550.852288350736;-665.398115825974;6112.476312178685
294;8675.383057525214;-646.4351741871443;5942.510914279888
295;8551.617762588703;-725.2088252966141;6017.174664297057
296;8664.453536472007;-586.291385179605;6072.563688851492
297;8542.100013451121;-653.2015681023951;6187.39899553183
298;8484.615781250472;-647.7153040976324;6041.826661277016
299;8620.355037644145;-639.3563725358979;6079.07220152651
300;8660.414048470408;-634.5068321712498;6033.540346918771
301;8602.784615553046;-611.1258895320974;5850.271698919461
302;8544.912487659674;-661.8106897600298;5974.39855478017
303;8289.788414341376;-671.7317076150953;6047.746747944142
304;8655.92534205975;-746.251817410296;6169.5704964747865
305;8476.173534707727;-703.7981145662293;5956.717347190854
306;8509.432202468324;-555.9828076040785;6369.1776372341
307;8623.610728253987;-642.0345296289789;6284.393534691395
308;8431.093357714815;-530.9293705825451;6374.08185861778
309;8670.330456916952;-645.674811967459;6363.695569450853
310;8692.544449450808;-651.3324717332489;6265.107665324678
311;8438.325702117621;-570.9879693341206;6231.3507981180655
312;8630.19265676101;-532.9613752350202;6315.991569994706
313;8727.768867010647;-717.3415707362029;6200.763660133578
314;8849.857665092855;-580.4982779911988;6283.838644219216
315;8458.117037444781;-582.3952671418697;6126.397500975681
316;8654.287363079702;-528.8101827198634;6363.493718638926
317;8532.690722020736;-516.9218265194743;6214.488950453844
318;8735.304423803995;-635.9018227173128;6395.416280631838
319;8534.856664736444;-546.5458180613858;6465.455878950526
320;8657.580166676777;-575.7687474554622;6343.827767555113
321;8740.228045704625;-595.159568579283;6301.494542373357
322;8736.955160839545;-621.5087028165665;6093.988666129512
323;8810.406888604219;-645.7219915076962;6260.750727953318
324;8710.782406763741;-608.9439987675837;6122.688783467196
325;8522.02983476772;-601.790900515418;6398.265542535012
326;8773.345092607216;-655.3501768270075;6334.287791503824
327;8840.17927093083;-690.9755208110191;6268.570436762261
328;8734.637835059508;-734.7874976474038;6525.085024334568
329;8556.125613291417;-722.7939513072018;6299.693813981168
330;8578.952137394012;-587.4591215510245;6463.403598522351
331;8673.636665635328;-651.9550118583574;6366.463762425486
332;8684.079683511345;-681.7814509798031;6207.597030363298
333;8666.865135134305;-700.9532907308205;6415.64066593299
334;8585.611902313323;-624.9519527657271;6255.205771800437
335;8727.914922175649;-723.0038563915327;6381.474604699481
336;8628.548819413532;-662.0574212283561;6073.80804041583
337;8723.128971461116;-639.5820677825602;6268.539194643349
338;8693.8000779813;-591.907424916152;6361.942283934719
339;8824.145039023058;-670.3364833557471;6269.480717790547
