"epoch","num_critics: 20 - _step","num_critics: 20 - _step__MIN","num_critics: 20 - _step__MAX","num_critics: 20 - eval/reward_mean","num_critics: 20 - eval/reward_mean__MIN","num_critics: 20 - eval/reward_mean__MAX","num_critics: 10 - _step","num_critics: 10 - _step__MIN","num_critics: 10 - _step__MAX","num_critics: 10 - eval/reward_mean","num_critics: 10 - eval/reward_mean__MIN","num_critics: 10 - eval/reward_mean__MAX"
"92","92","92","92","-441.38626490636153","-441.38626490636153","-441.38626490636153","92","92","92","-284.2286978941075","-284.2286978941075","-284.2286978941075"
"93","93","93","93","-526.887727212692","-526.887727212692","-526.887727212692","93","93","93","553.6993297299168","553.6993297299168","553.6993297299168"
"94","94","94","94","-463.13128053195805","-463.13128053195805","-463.13128053195805","94","94","94","833.5921702202337","833.5921702202337","833.5921702202337"
"95","95","95","95","-478.0576127012402","-478.0576127012402","-478.0576127012402","95","95","95","745.358554938399","745.358554938399","745.358554938399"
"96","96","96","96","-451.8735196619379","-451.8735196619379","-451.8735196619379","96","96","96","199.35484023222503","199.35484023222503","199.35484023222503"
"97","97","97","97","-338.03217257384085","-338.03217257384085","-338.03217257384085","97","97","97","1466.4534421280325","1466.4534421280325","1466.4534421280325"
"98","98","98","98","-465.6871059877605","-465.6871059877605","-465.6871059877605","98","98","98","539.4948816897935","539.4948816897935","539.4948816897935"
"99","99","99","99","-437.615226964129","-437.615226964129","-437.615226964129","99","99","99","1222.2843584240727","1222.2843584240727","1222.2843584240727"
"100","100","100","100","-197.8915445235576","-197.8915445235576","-197.8915445235576","100","100","100","2202.8540203194234","2202.8540203194234","2202.8540203194234"
"101","101","101","101","-389.5216507852284","-389.5216507852284","-389.5216507852284","101","101","101","1924.1001511445588","1924.1001511445588","1924.1001511445588"
"102","102","102","102","-137.9648922265355","-137.9648922265355","-137.9648922265355","102","102","102","2695.2333264396757","2695.2333264396757","2695.2333264396757"
"103","103","103","103","-288.36958983961114","-288.36958983961114","-288.36958983961114","103","103","103","3222.508428366596","3222.508428366596","3222.508428366596"
"104","104","104","104","-115.2972941573059","-115.2972941573059","-115.2972941573059","104","104","104","2292.738843502011","2292.738843502011","2292.738843502011"
"105","105","105","105","-198.2380465411064","-198.2380465411064","-198.2380465411064","105","105","105","2990.2243596173616","2990.2243596173616","2990.2243596173616"
"106","106","106","106","-102.57199543561005","-102.57199543561005","-102.57199543561005","106","106","106","2290.6124878330143","2290.6124878330143","2290.6124878330143"
"107","107","107","107","79.30098437992119","79.30098437992119","79.30098437992119","107","107","107","3211.427830800779","3211.427830800779","3211.427830800779"
"108","108","108","108","166.27342343894543","166.27342343894543","166.27342343894543","108","108","108","2661.4037212564363","2661.4037212564363","2661.4037212564363"
"109","109","109","109","268.158230080333","268.158230080333","268.158230080333","109","109","109","2866.62473734941","2866.62473734941","2866.62473734941"
"110","110","110","110","26.246858187075976","26.246858187075976","26.246858187075976","110","110","110","3049.0305828841583","3049.0305828841583","3049.0305828841583"
"111","111","111","111","-22.28200751375187","-22.28200751375187","-22.28200751375187","111","111","111","1992.776292978897","1992.776292978897","1992.776292978897"
"112","112","112","112","136.14401728397507","136.14401728397507","136.14401728397507","112","112","112","3140.860781306402","3140.860781306402","3140.860781306402"
"113","113","113","113","541.8119357035852","541.8119357035852","541.8119357035852","113","113","113","2821.8441143051173","2821.8441143051173","2821.8441143051173"
"114","114","114","114","589.0369867539483","589.0369867539483","589.0369867539483","114","114","114","3491.6158069869293","3491.6158069869293","3491.6158069869293"
"115","115","115","115","948.0457642094636","948.0457642094636","948.0457642094636","115","115","115","3196.75083337267","3196.75083337267","3196.75083337267"
"116","116","116","116","1137.900885231888","1137.900885231888","1137.900885231888","116","116","116","3109.036845505552","3109.036845505552","3109.036845505552"
"117","117","117","117","1111.5779473638463","1111.5779473638463","1111.5779473638463","117","117","117","3322.799983585529","3322.799983585529","3322.799983585529"
"118","118","118","118","1787.8836974396552","1787.8836974396552","1787.8836974396552","118","118","118","2557.27176518989","2557.27176518989","2557.27176518989"
"119","119","119","119","382.3348054678164","382.3348054678164","382.3348054678164","119","119","119","3187.067218316818","3187.067218316818","3187.067218316818"
"120","120","120","120","588.4971095584712","588.4971095584712","588.4971095584712","120","120","120","2983.482726972435","2983.482726972435","2983.482726972435"
"121","121","121","121","564.9069013807518","564.9069013807518","564.9069013807518","121","121","121","3025.085919170776","3025.085919170776","3025.085919170776"
"122","122","122","122","2390.8555169137553","2390.8555169137553","2390.8555169137553","122","122","122","3289.55618096576","3289.55618096576","3289.55618096576"
"123","123","123","123","4011.341395149209","4011.341395149209","4011.341395149209","123","123","123","2680.545738364792","2680.545738364792","2680.545738364792"
"124","124","124","124","1803.3987239807884","1803.3987239807884","1803.3987239807884","124","124","124","3186.3320951270425","3186.3320951270425","3186.3320951270425"
"125","125","125","125","2872.103251654231","2872.103251654231","2872.103251654231","125","125","125","3023.1442208318877","3023.1442208318877","3023.1442208318877"
"126","126","126","126","3860.1976239139526","3860.1976239139526","3860.1976239139526","126","126","126","2760.2366644396443","2760.2366644396443","2760.2366644396443"
"127","127","127","127","3257.437469440845","3257.437469440845","3257.437469440845","127","127","127","3045.932341022778","3045.932341022778","3045.932341022778"
"128","128","128","128","4524.966036312208","4524.966036312208","4524.966036312208","128","128","128","2958.687918196465","2958.687918196465","2958.687918196465"
"129","129","129","129","3848.7099526127363","3848.7099526127363","3848.7099526127363","129","129","129","2920.7192222891877","2920.7192222891877","2920.7192222891877"
"130","130","130","130","2062.534530442134","2062.534530442134","2062.534530442134","130","130","130","3183.938694474041","3183.938694474041","3183.938694474041"
"131","131","131","131","325.4495966385217","325.4495966385217","325.4495966385217","131","131","131","2958.6857127234775","2958.6857127234775","2958.6857127234775"
"132","132","132","132","1958.173101006767","1958.173101006767","1958.173101006767","132","132","132","3235.922622143353","3235.922622143353","3235.922622143353"
"133","133","133","133","1161.7244525901983","1161.7244525901983","1161.7244525901983","133","133","133","3325.9179114566577","3325.9179114566577","3325.9179114566577"
"134","134","134","134","-40.40461820243978","-40.40461820243978","-40.40461820243978","134","134","134","3220.1448746654332","3220.1448746654332","3220.1448746654332"
"135","135","135","135","216.75844888619176","216.75844888619176","216.75844888619176","135","135","135","3734.2514007858235","3734.2514007858235","3734.2514007858235"
"136","136","136","136","890.3906676644694","890.3906676644694","890.3906676644694","136","136","136","3260.825867365485","3260.825867365485","3260.825867365485"
"137","137","137","137","545.8840362471676","545.8840362471676","545.8840362471676","137","137","137","3188.0449127530833","3188.0449127530833","3188.0449127530833"
"138","138","138","138","304.5003470879564","304.5003470879564","304.5003470879564","138","138","138","3312.101857369385","3312.101857369385","3312.101857369385"
"139","139","139","139","1009.7355326830582","1009.7355326830582","1009.7355326830582","139","139","139","3533.411702350009","3533.411702350009","3533.411702350009"
"140","140","140","140","527.9367019744935","527.9367019744935","527.9367019744935","140","140","140","3328.8626933748883","3328.8626933748883","3328.8626933748883"
"141","141","141","141","295.2299720911601","295.2299720911601","295.2299720911601","141","141","141","3195.8384834803105","3195.8384834803105","3195.8384834803105"
"142","142","142","142","1749.6449576554332","1749.6449576554332","1749.6449576554332","142","142","142","2528.0381738917977","2528.0381738917977","2528.0381738917977"
"143","143","143","143","741.485235909728","741.485235909728","741.485235909728","143","143","143","3619.516429044509","3619.516429044509","3619.516429044509"
"144","144","144","144","67.65551130061476","67.65551130061476","67.65551130061476","144","144","144","3436.216866882388","3436.216866882388","3436.216866882388"
"145","145","145","145","958.6694416304017","958.6694416304017","958.6694416304017","145","145","145","2650.7479938323268","2650.7479938323268","2650.7479938323268"
"146","146","146","146","1148.627156201875","1148.627156201875","1148.627156201875","146","146","146","3588.177627939274","3588.177627939274","3588.177627939274"
"147","147","147","147","351.32217699465485","351.32217699465485","351.32217699465485","147","147","147","3837.5617451303638","3837.5617451303638","3837.5617451303638"
"148","148","148","148","2525.4625783408833","2525.4625783408833","2525.4625783408833","148","148","148","3808.604017454299","3808.604017454299","3808.604017454299"
"149","149","149","149","2416.8748872584647","2416.8748872584647","2416.8748872584647","149","149","149","3807.0624417918893","3807.0624417918893","3807.0624417918893"
"150","150","150","150","814.3868609984956","814.3868609984956","814.3868609984956","150","150","150","3630.603675204767","3630.603675204767","3630.603675204767"
"151","151","151","151","2821.717148685998","2821.717148685998","2821.717148685998","151","151","151","3745.0669485839912","3745.0669485839912","3745.0669485839912"
"152","152","152","152","937.5968687543466","937.5968687543466","937.5968687543466","152","152","152","3699.5637745833214","3699.5637745833214","3699.5637745833214"
"153","153","153","153","3013.27032967554","3013.27032967554","3013.27032967554","153","153","153","3458.097696345376","3458.097696345376","3458.097696345376"
"154","154","154","154","2028.420663911817","2028.420663911817","2028.420663911817","154","154","154","3808.726495191967","3808.726495191967","3808.726495191967"
"155","155","155","155","2728.6883266653867","2728.6883266653867","2728.6883266653867","155","155","155","3829.4733551988343","3829.4733551988343","3829.4733551988343"
"156","156","156","156","1931.3229991556302","1931.3229991556302","1931.3229991556302","156","156","156","3838.9134958899754","3838.9134958899754","3838.9134958899754"
"157","157","157","157","2394.7441350863523","2394.7441350863523","2394.7441350863523","157","157","157","4155.574888887856","4155.574888887856","4155.574888887856"
"158","158","158","158","4107.062489395151","4107.062489395151","4107.062489395151","158","158","158","4011.769533622182","4011.769533622182","4011.769533622182"
"159","159","159","159","3807.487450522372","3807.487450522372","3807.487450522372","159","159","159","4085.1496463659264","4085.1496463659264","4085.1496463659264"
"160","160","160","160","2840.509478046847","2840.509478046847","2840.509478046847","160","160","160","3791.0885170639426","3791.0885170639426","3791.0885170639426"
"161","161","161","161","4150.710608181897","4150.710608181897","4150.710608181897","161","161","161","3836.549224475203","3836.549224475203","3836.549224475203"
"162","162","162","162","4192.344710633525","4192.344710633525","4192.344710633525","162","162","162","4015.4380906503197","4015.4380906503197","4015.4380906503197"
"163","163","163","163","3122.0046032814707","3122.0046032814707","3122.0046032814707","163","163","163","3866.098801899495","3866.098801899495","3866.098801899495"
"164","164","164","164","3719.5667993114744","3719.5667993114744","3719.5667993114744","164","164","164","3868.843360860118","3868.843360860118","3868.843360860118"
